Device,Trip,dTime
10173,2877,97
10173,3572,97
10137,5907,97
10132,7587,97
10176,5719,97
15101,328,98
10162,257,98
13110,3126,98
10177,1364,98
10153,1378,98
10139,1741,98
10133,1639,98
13101,8133,98
13101,8687,98
13101,9079,98
10139,4691,98
10160,4714,98
10615,9203,98
10159,11407,98
13103,2284,99
10181,281,99
10139,910,99
13107,3773,99
10222,805,99
13109,8397,99
10173,3755,99
10177,19168,99
10139,7435,99
10115,99,100
10120,672,100
10120,1105,100
10584,1038,100
10620,968,100
13110,11367,100
10594,7581,100
10129,4955,100
3268,86,100
10515,7466,100
17102,216,101
17102,1067,101
10204,1528,101
10150,1672,101
10136,1453,101
13105,5357,101
10147,1120,101
13109,9324,101
10173,2903,101
10594,4393,101
10132,6036,101
10150,5747,101
13103,76,102
13103,1132,102
10147,106,102
17102,922,102
10600,619,102
10604,469,102
10121,1238,102
10147,697,102
502,319,102
13106,5195,102
13110,13620,102
10502,1925,102
10147,127,103
10147,566,103
10160,2045,103
10589,1792,103
10222,562,103
13101,10679,103
10224,1896,103
13105,11192,103
13101,13039,103
10222,1713,103
10594,6883,103
10177,17992,103
10177,20108,103
10177,20663,103
10177,21474,103
10005,31,104
10115,497,104
10147,150,104
10118,702,104
10207,2468,104
17103,1682,104
13101,10942,104
10139,3612,104
13103,14393,104
10139,4768,104
10132,4491,104
10177,18130,104
10177,18830,104
10176,4581,104
10615,12,105
10204,1311,105
10136,914,105
10133,823,105
15901,673,105
10589,992,105
10587,1200,105
13101,8615,105
10125,1608,105
13101,16012,105
10132,7592,105
10118,356,106
13107,3173,106
10594,1034,106
10207,2118,106
10147,1035,106
10139,1995,106
13105,12824,106
13101,12487,106
13101,13521,106
13101,14044,106
10159,8926,106
10129,5441,106
10147,211,107
10150,605,107
13103,3626,107
13107,3471,107
13103,5822,107
10156,1645,107
10136,2064,107
10222,484,107
10620,1843,107
13107,7759,107
10129,2176,107
13103,10104,107
10150,3200,107
13101,11979,107
10132,3328,107
13109,9337,107
13105,14494,107
10205,109,108
10153,213,108
13107,2243,108
10140,865,108
13105,3520,108
10106,1211,108
10594,1048,108
10146,1806,108
10222,806,108
10139,3572,108
10106,5551,108
10605,7226,108
10137,5873,108
10177,10184,108
10125,2710,108
10176,3782,108
10177,19133,108
10176,5795,108
10176,260,109
13103,2685,109
10137,991,109
10160,831,109
13107,4155,109
10589,1010,109
10161,1341,109
13101,11130,109
13101,13244,109
10502,2634,109
10132,6600,109
10158,470,110
10135,1095,110
10568,461,110
13103,5314,110
13109,8516,110
10222,1418,110
10222,1419,110
13110,13909,110
13108,10633,110
10173,3663,110
17102,611,111
10118,977,111
13101,3495,111
10190,653,111
10620,802,111
13108,9339,111
10132,6175,111
10177,20732,111
10176,5999,111
13107,419,112
10106,370,112
13103,2545,112
10190,379,112
10148,684,112
10106,2189,112
13106,6140,112
13106,6347,112
10173,2963,112
13109,12435,112
10515,6205,112
10132,6424,112
17102,351,113
17102,1116,113
10140,420,113
10120,939,113
10181,282,113
10137,1367,113
10153,1009,113
10620,568,113
10620,727,113
10161,2057,113
13103,9978,113
10125,2073,113
10177,19463,113
10132,7269,113
10205,486,114
10125,2,114
17101,557,114
10165,14,114
10139,393,114
10165,1173,114
13109,2982,114
13105,4982,114
10222,101,114
10222,174,114
551,413,114
10173,2251,114
13103,12964,114
10222,1526,114
10594,3702,114
10150,5293,114
10176,4465,114
13103,642,115
10150,501,115
13103,3523,115
10620,96,115
10620,240,115
10605,1502,115
10139,1482,115
10146,1693,115
10147,887,115
10173,1316,115
13101,10495,115
13101,10685,115
10106,4268,115
10205,240,116
10205,385,116
10162,256,116
10575,791,116
17101,1435,116
10620,251,116
10137,2046,116
10146,1627,116
13101,5630,116
13110,5561,116
10136,3118,116
10173,1835,116
10173,2164,116
10173,2217,116
10176,3741,116
10224,4503,116
17102,218,117
17102,275,117
13107,395,117
17102,441,117
17102,1011,117
10153,1136,117
13107,3472,117
10139,2776,117
10106,4680,117
10159,7161,117
10137,5798,117
13110,14340,117
10132,6870,117
10224,4993,117
13103,1660,118
10205,1657,118
10146,1505,118
10580,869,118
10136,1440,118
10589,1199,118
10106,2795,118
10605,3402,118
10137,5169,118
10594,4416,118
10129,4289,118
10129,4369,118
10176,5366,118
10176,5984,118
10115,282,119
10156,14,119
13105,2923,119
10147,800,119
13103,8929,119
10137,3648,119
10106,3680,119
10177,6361,119
10159,12783,119
10177,19637,119
10177,21003,119
13103,581,120
10135,581,120
13110,2031,120
10158,302,120
10137,1096,120
17101,1597,120
10148,1616,120
10106,2346,120
13105,16599,120
10502,2076,120
10118,353,121
10141,173,121
13109,1034,121
10579,965,121
10118,1842,121
10134,756,121
10575,1834,121
10605,2620,121
10139,2624,121
13110,11560,121
10132,6993,121
17102,293,122
10205,1223,122
17101,1651,122
10620,70,122
10106,1067,122
10615,1222,122
10207,2120,122
13110,5338,122
10224,644,122
10134,1407,122
13109,5788,122
10159,8950,122
10177,17792,122
10502,2924,122
17102,140,123
10158,204,123
17101,1300,123
10165,698,123
13109,3512,123
10147,870,123
10557,1719,123
10132,2263,123
10106,4138,123
10106,4348,123
10173,2165,123
10159,7936,123
10173,3769,123
10139,6992,123
10106,264,124
10154,377,124
10155,1351,124
10620,871,124
10190,1422,124
13101,7420,124
10158,1830,124
10147,1303,124
10106,3852,124
13109,7961,124
10106,4346,124
10159,7514,124
10176,3215,124
10594,5469,124
502,834,124
10177,17602,124
10132,6325,124
10125,3188,124
10204,305,125
10162,34,125
13103,2790,125
10106,524,125
10140,631,125
17102,2102,125
10222,808,125
10173,2497,125
10173,3456,125
10132,6249,125
13101,835,126
10575,418,126
13108,1309,126
10166,424,126
10607,18,126
13109,2595,126
10620,220,126
10604,963,126
10137,2378,126
10129,1538,126
10106,3849,126
10177,10135,126
10224,4408,126
10177,19139,126
10176,4506,126
10594,9488,126
10594,10008,126
17102,161,127
17103,752,127
10165,1137,127
10118,2013,127
10153,1871,127
10147,1275,127
10224,2129,127
10159,8333,127
13109,12474,127
10150,4641,127
10154,486,128
10125,997,128
10159,9030,128
10224,2647,128
10132,6538,128
10115,585,129
13101,1886,129
13110,2039,129
10137,921,129
10204,1405,129
17103,1318,129
13103,5296,129
10164,1596,129
13110,9200,129
10612,1979,129
10620,2361,129
10222,1401,129
13105,17003,129
10177,19009,129
13103,3365,130
10139,960,130
10204,1590,130
10620,507,130
10147,867,130
13101,11867,130
10150,4016,130
13101,15756,130
10150,5205,130
10139,6532,130
10224,5036,130
10177,20924,130
13105,317,131
10204,1148,131
17102,1608,131
10118,1350,131
10118,1357,131
10593,87,131
10139,973,131
10147,636,131
10604,644,131
10156,1269,131
10147,1125,131
10125,1290,131
10173,2989,131
10160,3976,131
10204,200,132
17102,353,132
10136,111,132
10125,717,132
10176,1388,132
17101,2102,132
10222,508,132
10224,1527,132
13105,12273,132
13105,13292,132
13107,10681,132
10173,2595,132
13101,14988,132
10502,2595,132
10177,17579,132
10177,17599,132
10594,8935,132
17103,1023,133
10575,842,133
13105,2825,133
10580,1047,133
10129,1312,133
10147,1041,133
10139,2794,133
13109,10644,133
10159,8640,133
10139,4690,133
10159,11730,133
10594,7396,133
13110,1368,134
17101,1033,134
10163,1195,134
10620,1764,134
10150,2725,134
10158,2562,134
10132,3868,134
13103,15122,134
10204,3175,134
10594,6922,134
10594,8480,134
10132,6725,134
10147,341,135
10118,2121,135
10134,1591,135
10620,2852,135
13110,13684,135
10173,3253,135
10132,6137,135
10176,5953,135
17102,456,136
10153,707,136
10146,672,136
10158,485,136
10605,903,136
10147,580,136
10106,5044,136
10106,5680,136
10173,2607,136
10139,5052,136
10177,17683,136
10132,7300,136
10222,2747,136
10166,194,137
10138,687,137
15101,786,137
13108,2012,137
10139,967,137
10159,1402,137
10158,1265,137
10222,1474,137
10173,2295,137
10222,1525,137
10139,4743,137
10615,10976,137
13108,312,138
13101,1475,138
13105,1399,138
10161,229,138
10612,17,138
10571,343,138
10604,477,138
10620,552,138
10568,1129,138
10153,2696,138
10137,3223,138
10136,2261,138
10162,1988,138
13108,6111,138
10159,7699,138
10176,5682,138
10207,655,139
17101,924,139
10205,1493,139
10147,472,139
17101,1946,139
10570,2119,139
10139,2072,139
10205,1762,139
10173,429,139
10161,2322,139
10605,4527,139
13105,11061,139
13101,12683,139
13105,15267,139
10605,7358,139
10502,2526,139
10176,4034,139
10177,17575,139
17101,273,140
13103,527,140
10147,115,140
10106,968,140
10137,1779,140
10604,1083,140
13107,6415,140
13107,6671,140
10224,1659,140
13101,12179,140
13110,13676,140
10594,4616,140
10177,21181,140
10176,82,141
10129,432,141
10134,632,141
10118,1935,141
13101,5520,141
13107,6401,141
10106,5040,141
10190,2952,141
10173,2259,141
10132,4575,141
10224,2735,141
10139,6585,141
10177,17860,141
10594,8205,141
10177,18325,141
10579,339,142
13107,2480,142
10147,578,142
10594,1188,142
10125,1358,142
10605,3930,142
10125,1515,142
10620,2486,142
10106,4350,142
10173,2123,142
10139,4446,142
13110,13911,142
13109,11067,142
10177,9506,142
10594,7027,142
10177,19825,142
10147,71,143
10129,293,143
17102,995,143
13103,2067,143
17101,1041,143
10139,1144,143
10118,1713,143
10136,1233,143
10106,2417,143
10137,3112,143
10620,2077,143
13107,8624,143
10612,2381,143
10173,2180,143
10132,5995,143
10177,18770,143
10205,179,144
17102,259,144
13108,625,144
10139,394,144
10137,1244,144
10188,716,144
10153,2268,144
10106,2918,144
10147,1420,144
10125,1832,144
10106,4573,144
10106,5178,144
13103,13031,144
10173,2916,144
10132,7056,144
10176,5543,144
10176,5782,144
10118,64,145
17101,212,145
10204,1061,145
10162,162,145
10138,781,145
17101,1499,145
17102,1741,145
10150,1933,145
10106,2405,145
10568,1168,145
10132,2328,145
13106,9188,145
10585,2553,145
13105,11492,145
10177,6124,145
10139,3895,145
10139,3944,145
10224,2938,145
10145,7,146
10118,1153,146
13103,4366,146
10118,1849,146
10166,879,146
13103,5097,146
10164,1879,146
10139,4301,146
10568,2492,146
10118,362,147
10190,14,147
17103,857,147
13107,2079,147
10586,373,147
10135,1214,147
10594,1031,147
13110,4830,147
10133,1755,147
10106,3328,147
13107,6851,147
10611,3679,147
13105,12630,147
13110,14601,147
10125,2440,147
10177,18020,147
10176,4224,147
13107,105,148
10205,606,148
10138,436,148
10135,667,148
10580,187,148
10510,609,148
10594,566,148
13110,5947,148
10136,2074,148
10164,2314,148
10153,3535,148
10150,2724,148
13107,7430,148
10224,2226,148
13105,13250,148
10173,2526,148
10594,7395,148
10224,5298,148
10139,522,149
10153,616,149
10619,12,149
13101,5052,149
10222,29,149
10140,1425,149
